Category,WARDJJ_19-20_Categorised.csv,WARDJJ_20-21_Categorised.csv,WARDJJ_21-22_Categorised.csv,WARDJJ_22-23_Categorised.csv,WARDJJ_23-24_Categorised.csv,WARDJJ_24-25_Categorised.csv
Car,0,0,0,-152.82999999999998,-1289.99,-1231.42
Food Delivery,0,0,-389.25,-804.52,-842.98,-954.47
Fuel,0,0,-500.0,-1051.5,-1228.21,-1309.52
Groceries,0,-26.5,236.97000000000003,-360.43,-1594.82,-1594.9
Investments,0,0,0,0,0,-16724.71
Rent,-70.0,-15.0,-1250.0,-4154.79,-3000.0,-3006.25
Subscriptions,-71.92,-110.88,-490.37,-736.55,-853.48,-758.58
Uncategorised,409.33000000000004,-120.55999999999999,6811.589999999999,8174.94,13542.380000000001,17426.45
